bin low edge,bin high edge,Bkg / GeV,Bkg unc. / GeV,Data / GeV,Data unc. / GeV,Data / bkg,Data unc. / data,Bkg unc. / bkg
36.0000,51.0000,21.0356,1.5240,22.6667,1.2293,1.0775,0.0542,0.0724
51.0000,62.0000,77.9132,5.0938,77.0909,2.6473,0.9894,0.0343,0.0654
62.0000,70.0000,106.7166,12.2531,102.5000,3.5795,0.9605,0.0349,0.1148
70.0000,78.0000,114.6897,12.7924,108.5000,3.6827,0.9460,0.0339,0.1115
78.0000,86.0000,108.3834,12.1233,110.5000,3.7165,1.0195,0.0336,0.1119
86.0000,94.0000,106.4156,11.9342,105.5000,3.6315,0.9914,0.0344,0.1121
94.0000,102.0000,71.8148,8.7285,72.8750,3.0182,1.0148,0.0414,0.1215
102.0000,110.0000,6.7655,1.0889,5.5000,0.8292,0.8130,0.1508,0.1609
110.0000,122.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122.0000,140.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140.0000,156.0000,34.1681,4.3052,29.8750,1.3665,0.8744,0.0457,0.1260
156.0000,172.0000,82.8942,9.9454,75.2500,2.1687,0.9078,0.0288,0.1200
172.0000,188.0000,81.0745,8.9462,78.2500,2.2115,0.9652,0.0283,0.1103
188.0000,204.0000,79.5570,3.9632,76.4375,2.1857,0.9608,0.0286,0.0498
204.0000,228.0000,83.6739,4.0607,80.5833,1.8324,0.9631,0.0227,0.0485
228.0000,260.0000,77.3262,3.3323,77.2188,1.5534,0.9986,0.0201,0.0431
260.0000,292.0000,68.6846,3.0310,65.6875,1.4327,0.9564,0.0218,0.0441
292.0000,324.0000,55.4917,2.5087,55.1250,1.3125,0.9934,0.0238,0.0452
324.0000,356.0000,44.0861,1.9390,45.1562,1.1879,1.0243,0.0263,0.0440
356.0000,388.0000,35.7167,1.5949,36.9375,1.0744,1.0342,0.0291,0.0447
388.0000,444.0000,26.6190,1.1710,27.9286,0.7062,1.0492,0.0253,0.0440
444.0000,508.0000,18.6788,0.8398,18.6406,0.5397,0.9980,0.0290,0.0450
508.0000,572.0000,12.8492,0.6267,13.4062,0.4577,1.0433,0.0341,0.0488
572.0000,636.0000,8.6079,0.4405,8.3906,0.3621,0.9748,0.0432,0.0512
636.0000,700.0000,5.8681,0.2969,5.7969,0.3010,0.9879,0.0519,0.0506
700.0000,764.0000,3.9842,0.2195,4.3125,0.2596,1.0824,0.0602,0.0551
764.0000,892.0000,2.5347,0.1320,2.7500,0.1466,1.0849,0.0533,0.0521
892.0000,1020.0000,1.3229,0.0858,1.4062,0.1048,1.0630,0.0745,0.0648
1020.0000,1148.0000,0.7375,0.0550,0.8203,0.0801,1.1123,0.0976,0.0746
1148.0000,1276.0000,0.3947,0.0345,0.4531,0.0595,1.1480,0.1313,0.0874
1276.0000,1404.0000,0.2288,0.0243,0.2188,0.0413,0.9559,0.1890,0.1062
1404.0000,1564.0000,0.1010,0.0141,0.0812,0.0225,0.8046,0.2774,0.1399
1564.0000,1820.0000,0.0317,0.0061,0.0117,0.0068,0.3699,0.5774,0.1915
